window,start,end,geom_mean,n_windows,window_type,window_id,subset,fold,sub_label,tau,d,h
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,7,-3.05054941353974,0.499432069644069,0.989410988901462
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,6,-3.331525470531,0.463284359859475,0.352505149543511
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,14,-2.20907750252097,0.623859782743309,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,12,-2.3732893061501,0.579308382606265,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,9,-2.89900873038126,0.51673861061135,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,10,-2.67627206285306,0.544828794404288,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,21+,-1.74053670835444,0.667168914610963,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,11,-2.43492139749316,0.577409212538359,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,17,-2.43065989068327,0.577224116874468,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,13,-2.22274632742269,0.618598452287743,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,18,-1.7444226865751,0.673156828119041,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,by_practice,2,16,-2.59629858524525,0.542834837073556,1
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,4,-4.08309384487526,0.388080935329918,0.100656976358281
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,5,-4.19876809544254,0.380742376598207,0.0601481013224336
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,8,-3.49917561671693,0.452913019596084,0.366526943491119
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,7,-3.78792567039911,0.422422231244982,0.183596647161489
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,6,-3.96002732932779,0.405571392831443,0.120453330004732
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,14,-3.84189174048919,0.416986209613557,0.156531319483343
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,12,-2.85574157702176,0.515821597993917,1
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,9,-3.25561994029334,0.471517716248753,0.544224290755495
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,10,-3.40488934175398,0.470496830109759,0.542932084531827
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,21+,-2.43185733742811,0.56376552322329,1
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,11,-3.23592280389099,0.485092683322905,0.735286436300788
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,17,-2.48097001766864,0.563285817547999,1
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,13,-2.99218405520288,0.499229406940733,0.979408520189103
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,18,-2.28488989405543,0.585189007780256,1
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,16,-2.19394522512051,0.589022474286863,1
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,15,-3.36613079090744,0.469297258329971,0.529489102440493
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,by_practice,2,20,-2.82762393848882,0.508789500393586,1
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,4,-5.01445664909647,0.335457350397568,0.0189000510964747
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,5,-5.07558985729534,0.332006995911754,0.0122180343183734
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,8,-4.2921698145121,0.397010322951359,0.0799839580327979
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,7,-4.52619343399922,0.375507956401997,0.0479526707396916
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,6,-4.79453857738735,0.350737234093255,0.0249027820128842
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,14,-3.67217374670523,0.441713180615054,0.239826277597732
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,12,-3.73388197783431,0.435201324963284,0.208931763781138
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,9,-4.18548872914918,0.40908256459086,0.116716276489622
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,10,-4.00343006782769,0.415450503774942,0.130503598305892
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,21+,-2.90547251279342,0.509935508645374,1
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,11,-3.84378920294766,0.438277421084331,0.235350281851585
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,17,-3.41127107678143,0.463800302564932,0.417304222803377
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,13,-3.71921113101989,0.445320270924174,0.273387217239453
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,18,-3.67854411123396,0.44872484466984,0.293891380669616
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,16,-3.33685880926085,0.473083182788267,0.52368108349602
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,19,-3.45511465360657,0.475425522206357,0.562693487270706
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,15,-3.46583136157596,0.461073841118449,0.390599672634679
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,by_practice,2,20,-3.36896943224604,0.479575831262128,0.628425974714298
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,4,-5.74531980261505,0.30645695521481,0.00472381463896861
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,5,-5.51463108386459,0.321798690185315,0.00716948218832439
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,8,-4.656792451501,0.384071274518634,0.0426085751859277
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,7,-4.90115256861211,0.366697004911923,0.0271735329814882
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,6,-5.19629344899264,0.341681675164028,0.0127733181088301
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,14,-4.51871866552006,0.397050970523198,0.0628316662871571
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,12,-4.18908869312886,0.415422306423354,0.100211773679176
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,9,-4.71883603386828,0.381503386428693,0.041318033430227
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,10,-4.29329991122541,0.410272975281609,0.0897249900647859
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,21+,-3.60705451607015,0.45582543318128,0.306224451532691
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,by_practice,2,11,-4.44646059708389,0.400061633266812,0.0657940473136906
