window,start,end,geom_mean,n_windows,window_type,window_id,subset,fold,sub_label,tau,d,h
2,68.949000120163,121.253999948502,91.4349061191595,20,regular,20,all,4,,-2.69452315689038,0.557478814836923,1
3,123.598999977112,220.978999853134,165.265796212615,20,regular,21,all,4,,-2.92678214970771,0.521875388885017,1
4,224.68799996376,395.178999900818,297.979830047931,20,regular,22,all,4,,-2.96042023229418,0.507952022067984,1
5,398.260999917984,713.151999950409,532.935857860737,20,regular,23,all,4,,-3.12068641614047,0.48079427940981,0.62682389832188
6,719.106000185013,1281.28500008583,959.885269971769,20,regular,24,all,4,,-3.13651793470089,0.478421535585971,0.647012472404797
7,1285.92199993134,2299.80999994278,1719.70237965426,20,regular,25,all,4,,-3.33890798712192,0.458394353868861,0.37029134776977
8,2304.1139998436,4117.75299978256,3080.22277355015,20,regular,26,all,4,,-3.58940842924159,0.428292082196962,0.180519405569755
9,4159.79800009727,7391.78800010681,5545.11901946093,20,regular,27,all,4,,-3.68305935714494,0.422152300761888,0.192787758438918
10,7453.84100008011,13238.1209998131,9933.52148396672,20,regular,28,all,4,,-3.75639200315659,0.414729371790622,0.1688612478563
11,13371.3069999218,23490.6749999523,17722.8955608205,20,regular,29,all,4,,-3.96251965408014,0.399866407600117,0.110124435783161
12,24164.364000082,42791.6510000229,32156.38398404,20,regular,30,all,4,,-4.29807108194621,0.374418128924015,0.0575653147891273
13,42824.5380001068,76709.8499999046,57315.4768479109,20,regular,31,all,4,,-4.63840785737818,0.352719225388672,0.0290056025677671
14,76959.0260000229,137553.312999964,102888.138245152,20,regular,32,all,4,,-4.71828698105825,0.343454519455529,0.0237722876705777
15,138609.907999992,247039.671000004,185046.334926307,20,regular,33,all,4,,-4.78885142963161,0.348282247304582,0.0217392935830843
16,247494.954999924,441248.032000065,330464.312481183,20,regular,34,all,4,,-4.82378462383459,0.351669809224287,0.0205114884873912
17,444687.072000027,792104.104000092,593496.802625765,20,regular,35,all,4,,-5.00193296531287,0.343711687742817,0.0138186249052235
18,808071.109999895,1410000.22900009,1067417.65497307,20,regular,36,all,4,,-5.29150720890387,0.328783663562458,0.00782900172139012
19,1458368.50699997,2566018.70299983,1934476.89694859,20,regular,37,all,4,,-5.29387064583885,0.328362340349984,0.00688569064465639
20,2573482.61699986,4605678.9519999,3442765.56309806,20,regular,38,all,4,,-5.75336637374952,0.305214120110857,0.00286058250676442
1,38.3629999160767,600,151.716182227362,1,short,39,all,4,,-2.8865666647089,0.52286992383996,1
1,84600,88200,86381.2479650532,1,24h,40,all,4,,-4.7302366406085,0.338011011561686,0.0226528441087414
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,all,5,,-4.60714693111245,0.37841249792594,0.0559001038603084
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,all,5,,-3.36420230111329,0.48818141099474,0.718802412057964
